t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
2.0,2.0,3.0,4.0,4
2.0,2.0,6.0,7.0,7
3.0,5.0,10.0,8.0,9
3.0,6.0,12.0,11.0,10
5.0,8.0,15.0,14.0,12
7.0,12.0,16.0,16.0,13
7.0,13.0,16.0,16.0,17
10.0,14.0,17.0,17.0,20
11.0,15.0,20.0,18.0,22
12.0,15.0,21.0,19.0,26
14.0,18.0,23.0,19.0,28
16.0,20.0,25.0,21.0,29
20.0,24.0,27.0,23.0,29
22.0,26.0,29.0,25.0,30
23.0,26.0,30.0,27.0,32
25.0,26.0,33.0,28.0,32
28.0,27.0,35.0,30.0,34
32.0,29.0,38.0,33.0,34
34.0,30.0,40.0,35.0,35
34.0,30.0,42.0,37.0,35
35.0,32.0,45.0,40.0,38
37.0,33.0,48.0,42.0,39
41.0,37.0,49.0,43.0,41
42.0,37.0,49.0,44.0,42
44.0,39.0,50.0,47.0,42
,42.0,50.0,48.0,44
,45.0,53.0,50.0,45
,47.0,53.0,52.0,46
,48.0,53.0,52.0,49
,51.0,57.0,55.0,51
,53.0,59.0,57.0,52
,55.0,61.0,57.0,52
,56.0,63.0,58.0,54
,60.0,66.0,61.0,56
,62.0,69.0,61.0,56
,65.0,70.0,62.0,58
,65.0,70.0,63.0,60
,66.0,72.0,67.0,60
,68.0,72.0,68.0,62
,69.0,72.0,69.0,62
,72.0,74.0,71.0,64
,75.0,74.0,71.0,65
,77.0,76.0,74.0,66
,79.0,79.0,77.0,68
,81.0,81.0,78.0,69
,81.0,81.0,78.0,69
,83.0,83.0,79.0,70
,84.0,86.0,79.0,70
,84.0,87.0,83.0,71
,87.0,89.0,86.0,74
,,91.0,88.0,74
,,93.0,91.0,74
,,96.0,94.0,74
,,98.0,96.0,75
,,99.0,98.0,76
,,99.0,100.0,77
,,101.0,102.0,79
,,102.0,104.0,79
,,104.0,106.0,79
,,106.0,109.0,79
,,106.0,110.0,81
,,107.0,110.0,84
,,109.0,111.0,85
,,111.0,114.0,88
,,112.0,114.0,90
,,112.0,117.0,91
,,114.0,117.0,93
,,115.0,118.0,95
,,118.0,121.0,98
,,120.0,122.0,100
,,121.0,126.0,104
,,122.0,129.0,105
,,125.0,129.0,106
,,126.0,129.0,109
,,128.0,132.0,111
,,131.0,134.0,114
,,132.0,135.0,116
,,133.0,136.0,117
,,134.0,137.0,118
,,135.0,138.0,121
,,136.0,139.0,122
,,138.0,143.0,123
,,139.0,146.0,124
,,140.0,149.0,124
,,142.0,150.0,126
,,145.0,152.0,127
,,146.0,153.0,127
,,148.0,153.0,130
,,151.0,153.0,132
,,154.0,155.0,133
,,154.0,157.0,135
,,155.0,159.0,136
,,159.0,159.0,138
,,161.0,160.0,138
,,164.0,162.0,139
,,167.0,163.0,142
,,168.0,165.0,145
,,169.0,165.0,147
,,170.0,165.0,148
,,171.0,167.0,150
,,,167.0,152
,,,168.0,153
,,,168.0,154
,,,170.0,155
,,,171.0,155
,,,171.0,155
,,,174.0,156
,,,176.0,159
,,,177.0,162
,,,177.0,164
,,,178.0,167
,,,180.0,167
,,,182.0,169
,,,182.0,169
,,,184.0,170
,,,187.0,171
,,,187.0,174
,,,189.0,177
,,,189.0,178
,,,192.0,178
,,,193.0,179
,,,196.0,180
,,,198.0,181
,,,200.0,183
,,,204.0,184
,,,206.0,185
,,,209.0,188
,,,209.0,188
,,,209.0,190
,,,209.0,192
,,,211.0,195
,,,213.0,197
,,,213.0,197
,,,215.0,200
,,,215.0,203
,,,217.0,205
,,,219.0,206
,,,222.0,207
,,,223.0,208
,,,226.0,209
,,,228.0,211
,,,231.0,212
,,,231.0,213
,,,233.0,214
,,,234.0,215
,,,237.0,217
,,,239.0,220
,,,240.0,221
,,,242.0,224
,,,243.0,227
,,,,229
,,,,231
,,,,235
,,,,239
,,,,241
,,,,244
,,,,246
,,,,250
,,,,252
,,,,254
,,,,257
,,,,259
,,,,261
,,,,263
,,,,267
,,,,269
,,,,270
,,,,271
,,,,271
,,,,274
,,,,278
,,,,279
,,,,279
,,,,281
,,,,282
,,,,284
,,,,286
,,,,288
,,,,292
,,,,295
,,,,296
,,,,298
,,,,300
,,,,303
,,,,303
,,,,306
,,,,307
,,,,308
,,,,309
,,,,311
,,,,313
,,,,313
,,,,314
,,,,314
,,,,314
,,,,316
,,,,318
,,,,321
,,,,321
,,,,322
