t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
3.0,3.0,1.0,3.0,3
5.0,5.0,1.0,3.0,5
7.0,8.0,1.0,5.0,6
10.0,10.0,3.0,7.0,8
11.0,12.0,6.0,8.0,10
13.0,13.0,6.0,12.0,14
14.0,14.0,8.0,15.0,16
16.0,15.0,11.0,15.0,19
17.0,17.0,14.0,15.0,20
20.0,19.0,17.0,18.0,21
21.0,21.0,17.0,18.0,21
23.0,23.0,19.0,20.0,24
25.0,26.0,20.0,21.0,27
28.0,28.0,21.0,23.0,31
29.0,29.0,23.0,24.0,32
31.0,30.0,24.0,25.0,35
31.0,32.0,26.0,28.0,35
33.0,33.0,26.0,31.0,37
35.0,36.0,29.0,32.0,39
36.0,39.0,30.0,35.0,41
37.0,42.0,31.0,36.0,43
38.0,42.0,31.0,37.0,46
40.0,45.0,34.0,38.0,47
42.0,47.0,35.0,39.0,50
43.0,48.0,38.0,42.0,51
,50.0,39.0,44.0,52
,50.0,41.0,44.0,54
,51.0,44.0,44.0,54
,52.0,45.0,45.0,54
,52.0,48.0,45.0,56
,55.0,50.0,47.0,56
,59.0,52.0,50.0,58
,62.0,54.0,53.0,58
,63.0,56.0,54.0,61
,67.0,59.0,54.0,62
,70.0,61.0,56.0,64
,74.0,65.0,58.0,66
,74.0,65.0,62.0,68
,76.0,66.0,63.0,71
,78.0,70.0,66.0,73
,80.0,71.0,70.0,75
,83.0,72.0,71.0,75
,86.0,75.0,72.0,76
,88.0,75.0,75.0,79
,88.0,76.0,77.0,82
,89.0,78.0,78.0,84
,91.0,80.0,79.0,87
,94.0,82.0,81.0,87
,98.0,82.0,83.0,88
,100.0,85.0,83.0,91
,,88.0,84.0,92
,,89.0,84.0,95
,,93.0,88.0,98
,,95.0,90.0,102
,,97.0,90.0,105
,,99.0,93.0,106
,,101.0,96.0,107
,,101.0,98.0,109
,,104.0,100.0,113
,,104.0,102.0,115
,,105.0,104.0,117
,,107.0,106.0,120
,,109.0,107.0,122
,,109.0,108.0,123
,,113.0,108.0,123
,,116.0,111.0,124
,,117.0,113.0,125
,,119.0,113.0,128
,,121.0,114.0,129
,,123.0,115.0,131
,,126.0,115.0,134
,,127.0,118.0,137
,,128.0,119.0,138
,,130.0,119.0,138
,,131.0,121.0,141
,,133.0,123.0,142
,,134.0,123.0,143
,,135.0,125.0,146
,,136.0,126.0,148
,,138.0,127.0,150
,,138.0,129.0,152
,,140.0,129.0,155
,,141.0,130.0,155
,,142.0,131.0,157
,,145.0,134.0,158
,,147.0,135.0,162
,,148.0,135.0,165
,,150.0,138.0,168
,,152.0,141.0,170
,,154.0,141.0,172
,,157.0,141.0,174
,,157.0,141.0,177
,,160.0,143.0,179
,,162.0,143.0,181
,,163.0,145.0,182
,,165.0,148.0,184
,,166.0,149.0,184
,,168.0,151.0,185
,,171.0,153.0,185
,,174.0,154.0,189
,,,156.0,189
,,,157.0,191
,,,158.0,194
,,,160.0,197
,,,163.0,198
,,,163.0,198
,,,166.0,200
,,,167.0,200
,,,169.0,201
,,,169.0,202
,,,170.0,205
,,,171.0,207
,,,171.0,211
,,,172.0,212
,,,176.0,214
,,,177.0,218
,,,179.0,220
,,,183.0,223
,,,185.0,225
,,,187.0,227
,,,187.0,228
,,,190.0,228
,,,191.0,230
,,,194.0,231
,,,194.0,232
,,,196.0,235
,,,198.0,237
,,,199.0,238
,,,202.0,239
,,,204.0,239
,,,207.0,242
,,,207.0,244
,,,210.0,245
,,,213.0,248
,,,215.0,249
,,,217.0,251
,,,221.0,252
,,,223.0,253
,,,224.0,256
,,,226.0,258
,,,229.0,259
,,,230.0,260
,,,233.0,262
,,,235.0,265
,,,235.0,266
,,,236.0,267
,,,238.0,267
,,,241.0,270
,,,242.0,270
,,,242.0,270
,,,,272
,,,,274
,,,,276
,,,,276
,,,,278
,,,,279
,,,,281
,,,,284
,,,,286
,,,,288
,,,,290
,,,,293
,,,,295
,,,,298
,,,,300
,,,,303
,,,,304
,,,,307
,,,,308
,,,,309
,,,,310
,,,,311
,,,,312
,,,,314
,,,,317
,,,,319
,,,,321
,,,,322
,,,,325
,,,,326
,,,,328
,,,,328
,,,,330
,,,,332
,,,,332
,,,,335
,,,,337
,,,,339
,,,,341
,,,,342
,,,,342
,,,,345
,,,,347
,,,,348
,,,,352
,,,,352
,,,,354
,,,,354
,,,,356
,,,,359
