t con 25 procesos,t con 50 procesos,t con 100 procesos,t con 150 procesos,t con 200 procesos
2.0,5.0,4.0,2.0,1
4.0,4.0,5.0,2.0,3
3.0,4.0,5.0,3.0,2
2.0,5.0,5.0,3.0,4
3.0,4.0,6.0,4.0,4
4.0,3.0,6.0,3.0,4
5.0,4.0,5.0,2.0,5
5.0,8.0,6.0,4.0,5
4.0,7.0,6.0,4.0,5
4.0,8.0,5.0,5.0,5
3.0,7.0,5.0,5.0,6
6.0,6.0,7.0,5.0,7
5.0,8.0,6.0,5.0,6
5.0,6.0,6.0,5.0,7
5.0,7.0,7.0,5.0,7
6.0,8.0,7.0,5.0,7
6.0,7.0,6.0,5.0,8
8.0,10.0,8.0,5.0,9
8.0,9.0,7.0,6.0,8
7.0,11.0,7.0,5.0,9
6.0,12.0,6.0,8.0,9
6.0,11.0,7.0,6.0,9
10.0,14.0,10.0,8.0,10
7.0,13.0,7.0,10.0,9
10.0,13.0,6.0,12.0,9
,14.0,9.0,11.0,8
,13.0,7.0,11.0,7
,15.0,8.0,12.0,9
,14.0,7.0,12.0,8
,15.0,9.0,14.0,8
,15.0,7.0,13.0,7
,15.0,9.0,13.0,7
,14.0,7.0,13.0,11
,13.0,9.0,12.0,10
,15.0,8.0,14.0,9
,13.0,9.0,14.0,11
,13.0,9.0,13.0,12
,13.0,11.0,12.0,12
,13.0,10.0,15.0,13
,12.0,12.0,14.0,12
,15.0,12.0,14.0,12
,14.0,13.0,15.0,13
,13.0,12.0,15.0,15
,13.0,11.0,14.0,15
,17.0,15.0,16.0,16
,15.0,14.0,15.0,16
,16.0,16.0,17.0,16
,15.0,16.0,17.0,17
,16.0,17.0,18.0,16
,19.0,19.0,18.0,17
,,20.0,18.0,18
,,20.0,19.0,17
,,20.0,18.0,16
,,21.0,20.0,18
,,20.0,18.0,17
,,20.0,20.0,16
,,23.0,19.0,18
,,21.0,20.0,18
,,21.0,20.0,17
,,24.0,22.0,17
,,23.0,20.0,20
,,24.0,20.0,20
,,23.0,20.0,20
,,24.0,20.0,20
,,26.0,22.0,21
,,27.0,20.0,21
,,27.0,20.0,20
,,27.0,22.0,20
,,30.0,23.0,23
,,28.0,22.0,22
,,27.0,23.0,21
,,30.0,25.0,23
,,28.0,24.0,22
,,30.0,26.0,24
,,29.0,25.0,25
,,29.0,26.0,24
,,31.0,27.0,24
,,29.0,26.0,23
,,29.0,28.0,24
,,30.0,28.0,26
,,30.0,27.0,24
,,30.0,27.0,23
,,30.0,30.0,23
,,29.0,28.0,26
,,31.0,29.0,26
,,31.0,29.0,27
,,33.0,28.0,27
,,32.0,29.0,29
,,33.0,28.0,29
,,35.0,27.0,31
,,36.0,29.0,31
,,35.0,28.0,31
,,36.0,30.0,33
,,38.0,29.0,32
,,36.0,28.0,31
,,36.0,30.0,32
,,38.0,29.0,34
,,37.0,29.0,32
,,37.0,31.0,34
,,38.0,31.0,35
,,,31.0,34
,,,30.0,34
,,,32.0,34
,,,31.0,38
,,,31.0,37
,,,31.0,37
,,,33.0,38
,,,33.0,37
,,,34.0,38
,,,33.0,38
,,,35.0,39
,,,33.0,39
,,,35.0,39
,,,36.0,41
,,,34.0,39
,,,37.0,40
,,,37.0,42
,,,36.0,41
,,,36.0,42
,,,35.0,43
,,,37.0,44
,,,36.0,44
,,,38.0,45
,,,37.0,45
,,,37.0,46
,,,37.0,48
,,,38.0,47
,,,38.0,46
,,,37.0,48
,,,40.0,47
,,,39.0,50
,,,40.0,50
,,,42.0,50
,,,40.0,49
,,,42.0,48
,,,41.0,52
,,,43.0,51
,,,42.0,52
,,,42.0,54
,,,42.0,54
,,,41.0,54
,,,40.0,55
,,,40.0,55
,,,44.0,55
,,,41.0,57
,,,44.0,57
,,,42.0,57
,,,41.0,57
,,,44.0,59
,,,43.0,58
,,,,59
,,,,58
,,,,58
,,,,58
,,,,60
,,,,60
,,,,62
,,,,62
,,,,64
,,,,64
,,,,64
,,,,66
,,,,66
,,,,67
,,,,68
,,,,67
,,,,69
,,,,71
,,,,70
,,,,69
,,,,69
,,,,71
,,,,69
,,,,71
,,,,70
,,,,70
,,,,71
,,,,72
,,,,72
,,,,72
,,,,71
,,,,71
,,,,73
,,,,72
,,,,71
,,,,71
,,,,73
,,,,72
,,,,72
,,,,73
,,,,73
,,,,73
,,,,74
,,,,74
,,,,74
,,,,76
,,,,75
,,,,75
,,,,76
,,,,76
